DateTime;NO2;O3;PM10;PM25;SQ;WD;Wvh;dewP;p;temp
2022-08-01 00:00:00;0.05123920913394598;0.2653094729929404;0.08333333333333333;0.061586626498907206;0.0;0.7222222222222222;0.16666666666666666;0.8129496402877698;0.6732954545454546;0.5846560846560847
2022-08-01 01:00:00;0.05291005291005291;0.2461555300169649;0.07371794871794872;0.03443794671864848;0.0;0.6944444444444444;0.16666666666666666;0.8129496402877698;0.671875;0.5846560846560847
2022-08-01 02:00:00;0.05272440360159659;0.22826027472226781;0.07051282051282051;0.08672691830586568;0.0;0.7777777777777778;0.16666666666666666;0.8129496402877698;0.671875;0.5740740740740741
2022-08-01 03:00:00;0.061821219715956555;0.21036501942757074;0.05448717948717949;0.09308287553901588;0.0;0.8611111111111112;0.16666666666666666;0.802158273381295;0.6747159090909091;0.5661375661375662
2022-08-01 04:00:00;0.09802283486494011;0.163301045258031;0.032051282051282055;0.10979975190501508;0.0;0.9166666666666666;0.16666666666666666;0.8093525179856115;0.6803977272727273;0.5687830687830688
2022-08-01 05:00:00;0.1028497168848046;0.16341049636075083;0.07692307692307691;0.10877192982456142;0.0;0.05555555555555555;0.16666666666666666;0.7985611510791367;0.6846590909090909;0.5608465608465608
2022-08-01 06:00:00;0.07128933444722918;0.20872325288677285;0.04807692307692307;0.12896213597967984;0.0;0.19444444444444445;0.08333333333333333;0.802158273381295;0.6875;0.5714285714285714
2022-08-01 07:00:00;0.05764411027568922;0.2059322497674164;0.07371794871794872;0.08906609959241538;0.0;0.027777777777777776;0.25;0.7733812949640287;0.6960227272727273;0.5767195767195767
2022-08-01 08:00:00;0.04251369163649865;0.2547474415804739;0.07371794871794872;0.0803237048851084;0.1;0.9722222222222222;0.25;0.7482014388489209;0.7002840909090909;0.5978835978835979
2022-08-01 09:00:00;0.030353661932609303;0.2807968040278006;0.07371794871794872;0.15123161438950913;0.2;0.08333333333333333;0.25;0.7230215827338129;0.7073863636363636;0.6243386243386243
2022-08-01 10:00:00;0.02478418267891952;0.2915777376457068;0.06410256410256411;0.10630279402209229;0.2;0.1111111111111111;0.25;0.7050359712230215;0.7088068181818182;0.6428571428571429
2022-08-01 11:00:00;0.029146941427643177;0.30870683522136483;0.08653846153846154;0.1082166696201784;0.3;0.05555555555555555;0.25;0.6366906474820144;0.7116477272727273;0.6613756613756614
2022-08-01 12:00:00;0.03221015501717256;0.33590543424725006;0.08974358974358974;0.11827042353358143;0.7;0.9722222222222222;0.25;0.6187050359712231;0.7102272727272727;0.6825396825396826
2022-08-01 13:00:00;0.028311519539589713;0.3661686641492913;0.08974358974358974;0.10816941343257135;1.0;0.9166666666666666;0.25;0.5323741007194245;0.7088068181818182;0.6878306878306878
2022-08-01 14:00:00;0.02524830595006033;0.385158430471187;0.05128205128205128;0.11606119676295115;0.9;0.9444444444444444;0.25;0.5755395683453237;0.7073863636363636;0.6851851851851852
2022-08-01 15:00:00;0.02487700733314768;0.3838997427899087;0.07371794871794872;0.09738318861125879;1.0;0.9166666666666666;0.25;0.5467625899280576;0.7088068181818182;0.6851851851851852
2022-08-01 16:00:00;0.028775642810730525;0.3837355661358289;0.08333333333333333;0.0864433811802233;1.0;1.0;0.25;0.5143884892086331;0.7073863636363636;0.6772486772486772
2022-08-01 17:00:00;0.02636220180079829;0.3862529414983856;0.07371794871794872;0.0837143363459153;1.0;0.1388888888888889;0.16666666666666666;0.49640287769784175;0.7073863636363636;0.6534391534391535
2022-08-01 18:00:00;0.03193168105448808;0.39216330104525804;0.07692307692307691;0.08932600862425424;0.8;0.16666666666666666;0.16666666666666666;0.5935251798561151;0.7088068181818182;0.6005291005291006
2022-08-01 19:00:00;0.03406664810173582;0.3857604115361462;0.07051282051282051;0.0601571268237935;0.0;0.2222222222222222;0.08333333333333333;0.6474820143884892;0.7144886363636364;0.49206349206349204
2022-08-01 20:00:00;0.07639469042977814;0.33590543424725006;0.05448717948717949;0.10987063618642567;0.0;0.19444444444444445;0.08333333333333333;0.6151079136690647;0.7144886363636364;0.4417989417989418
2022-08-01 21:00:00;0.14183607166063306;0.2678268483554972;0.09935897435897435;0.18620119321873707;0.0;0.2222222222222222;0.08333333333333333;0.5971223021582733;0.7116477272727273;0.41798941798941797
2022-08-01 22:00:00;0.13032581453634084;0.25129973184479837;0.09294871794871795;0.12327957941993031;0.0;0.3055555555555556;0.08333333333333333;0.6007194244604317;0.7088068181818182;0.41534391534391535
2022-08-01 23:00:00;0.16225749559082892;0.20615115197285613;0.08653846153846154;0.1319510898458267;0.0;0.3055555555555556;0.08333333333333333;0.5935251798561151;0.7059659090909091;0.42328042328042326
2022-08-02 00:00:00;0.13403880070546736;0.2199967164669184;0.07371794871794872;0.11630929174788823;0.0;0.3333333333333333;0.16666666666666666;0.579136690647482;0.7002840909090909;0.4126984126984127
2022-08-02 01:00:00;0.1050775085862805;0.24571772560608549;0.07051282051282051;0.09707602339181287;0.0;0.3888888888888889;0.16666666666666666;0.5719424460431655;0.6960227272727273;0.4523809523809524
2022-08-02 02:00:00;0.08066462452427364;0.2596727412028676;0.09294871794871795;0.17600567074251286;0.0;0.4166666666666667;0.25;0.5719424460431655;0.6903409090909091;0.48148148148148145
2022-08-02 03:00:00;0.12410656270305392;0.21923055874787942;0.08012820512820512;0.14689585917656095;0.0;0.4166666666666667;0.16666666666666666;0.564748201438849;0.6860795454545454;0.48412698412698413
