DateTime;NO2;O3;PM10;PM25
2017-08-01 00:00:00;0.20755592685417246;0.11946587861872708;0.09294871794871795;0.10241597259141119
2017-08-01 01:00:00;0.14035087719298245;0.14228643353581788;0.09294871794871795;0.11812865497076025
2017-08-01 02:00:00;0.2524830595006034;0.10074974005363105;0.08974358974358974;0.08835725677830941
2017-08-01 03:00:00;0.3794671864847304;0.05357631478137143;0.07371794871794872;0.1509953334514738
2017-08-01 04:00:00;0.4267149354868653;0.02500957697148799;0.07692307692307691;0.1438714631697088
2017-08-01 05:00:00;0.4309848695813608;0.02905926777212281;0.08333333333333333;0.1436942524661823
2017-08-01 06:00:00;0.3823447507658034;0.04744705302905927;0.08974358974358974;0.16929529210230967
2017-08-01 07:00:00;0.3782604659797642;0.07114321676790894;0.07692307692307691;0.13470376277393822
2017-08-01 08:00:00;0.33537547572635296;0.0964811470475565;0.08333333333333333;0.0913698387382598
2017-08-01 09:00:00;0.3958971502831152;0.08909319761396597;0.08974358974358974;0.11853033256542031
2017-08-01 10:00:00;0.3265571335746774;0.13752531056750397;0.06730769230769232;0.10408175320456023
2017-08-01 11:00:00;0.2639004919706674;0.1846440102884037;0.08012820512820512;0.11998346033433754
2017-08-01 12:00:00;0.33751044277360065;0.17917145515241067;0.08333333333333333;0.1137692716640085
2017-08-01 13:00:00;0.26000185649308455;0.2064795052810157;0.060897435897435896;0.10505050505050505
2017-08-01 14:00:00;0.3125406107862248;0.23099655229026433;0.07692307692307691;0.09631992439009984
2017-08-01 15:00:00;0.35022742040285904;0.212499315930608;0.10897435897435896;0.11119380943942347
2017-08-01 16:00:00;0.33119836628608557;0.2380561484156953;0.09615384615384616;0.11134739204914645
2017-08-01 17:00:00;0.2936972059779077;0.3017019646472938;0.09294871794871795;0.1040581251107567
2017-08-01 18:00:00;0.37482595377332223;0.20653423083237565;0.11217948717948717;0.11473802350995334
2017-08-01 19:00:00;0.34809245335561123;0.17358944891369782;0.08653846153846154;0.12516982692421288
2017-08-01 20:00:00;0.4018379281537176;0.13057516554479287;0.09935897435897435;0.13326244905192275
2017-08-01 21:00:00;0.46514434233732477;0.07004870574071034;0.08333333333333333;0.11542323823025577
2017-08-01 22:00:00;0.5231597512299266;0.021999671646691844;0.07371794871794872;0.12294878610668085
2017-08-01 23:00:00;0.5464587394411956;0.05965085098232365;0.08974358974358974;0.13347510189615452
2017-08-02 00:00:00;0.43330548593706486;0.04098943796858754;0.10256410256410256;0.11490342016657805
2017-08-02 01:00:00;0.38475819177573567;0.05707875006840695;0.08333333333333333;0.16012759170653906
2017-08-02 02:00:00;0.298988211268913;0.1244459037924807;0.08333333333333333;0.11830586567428672
2017-08-02 03:00:00;0.33324050867910515;0.07152629562742845;0.11538461538461538;0.10577116191151278
2017-08-02 04:00:00;0.399795785760698;0.04394461774202375;0.08653846153846154;0.12893850788587632
2017-08-02 05:00:00;0.5275225099786502;0.026049362447326658;0.10897435897435896;0.1440014176856282
2017-08-02 06:00:00;0.4580896686159844;0.038909867016910196;0.08012820512820512;0.15744580305983819
2017-08-02 07:00:00;0.40072403230297965;0.08279975920757403;0.08974358974358974;0.11623840746647765
2017-08-02 08:00:00;0.3140258052538754;0.16663930389098672;0.05128205128205128;0.1137338295233032
2017-08-02 09:00:00;0.2962962962962963;0.18458928473704375;0.07692307692307691;0.11662827101423594
2017-08-02 10:00:00;0.3105912930474334;0.21003666611941113;0.07692307692307691;0.12142477405635302
2017-08-02 11:00:00;0.3101271697762926;0.20182783341542165;0.07371794871794872;0.12805245436824386
2017-08-02 12:00:00;0.30548593706488447;0.1785147485360915;0.07692307692307691;0.09440604879201371
2017-08-02 13:00:00;0.3454005383829945;0.21474306353636516;0.06730769230769232;0.06645401382243488
2017-08-02 14:00:00;0.33333333333333337;0.21408635692004596;0.09615384615384616;0.0925276153346329
2017-08-02 15:00:00;0.3389956372412513;0.22371805395939362;0.11217948717948717;0.0819658574044539
2017-08-02 16:00:00;0.3919985148055324;0.23334975099874133;0.08974358974358974;0.06698564593301436
2017-08-02 17:00:00;0.26343636869952664;0.31910468997975155;0.09615384615384616;0.10562939334869159
2017-08-02 18:00:00;0.42560103963612733;0.19542494390630988;0.07051282051282051;0.10743694252466184
2017-08-02 19:00:00;0.30669265756985054;0.20182783341542165;0.05769230769230769;0.044349932069230324
2017-08-02 20:00:00;0.16847674742411586;0.24106605374049142;0.07692307692307691;0.05019788528560459
2017-08-02 21:00:00;0.2037501160308178;0.23997154271329285;0.09294871794871795;0.06911217437533228
2017-08-02 22:00:00;0.18555648380209785;0.22809609806818804;0.06730769230769232;0.08990489692244079
2017-08-02 23:00:00;0.16197902162814445;0.2378919717616155;0.08974358974358974;0.12763896272668204
2017-08-03 00:00:00;0.1565023670286828;0.213265473649647;0.08012820512820512;0.11673459743635183
2017-08-03 01:00:00;0.18416411398867538;0.17988288732008975;0.08974358974358974;0.09270482603815937
2017-08-03 02:00:00;0.14434233732479346;0.20311388387238;0.07692307692307691;0.12072774528914881
2017-08-03 03:00:00;0.1457347071382159;0.2263448804246703;0.07371794871794872;0.12459093862602634
2017-08-03 04:00:00;0.2406015037593985;0.21091227494117004;0.06730769230769232;0.10307755921791009
2017-08-03 05:00:00;0.49002134967047245;0.11355551907185465;0.08974358974358974;0.0875539015889893
2017-08-03 06:00:00;0.4312633435440453;0.11355551907185465;0.07051282051282051;0.09752495717408
2017-08-03 07:00:00;0.3198737584702497;0.14277896349805724;0.08333333333333333;0.1264575580365054
